Priority,Business Name,Type,Phone,Rating,Reviews,Address,Maps Link,Website
A - Cloud Kitchen,Colonel's Kababz | Corporate Office & Cloud Kitchen,north_indian_restaurant,098683 74769,3.5,10,"GROUND FLOOR, 832, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, New Delhi, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=325508217810332655&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
A - Cloud Kitchen,"The Croffle Guys | Udyog Vihar, Cloud Kitchen",restaurant,093548 55455,4.7,7,"651, Udyog Vihar Phase V Rd, Udyog Vihar 3, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13064431075310700087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.thecroffleguys.com/
A - Delivery/Takeaway,ROYAL BITE,meal_delivery,099993 58896,5,2,"Sub. Major Laxmi Chand Rd, Sector 18, Sarhol, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=17902535156618146895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.royalbite.in/
A - Delivery/Takeaway,Shree Shyam Food Point,meal_takeaway,093190 58955,,,"House 327, Indstuil Complex, Bangla Mohhalla, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=16711795553173081560&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://magicpin.in/Gurgaon/Udyog-Vihar/Restaurant/Shree-Shyam-Food-Point/store/1704a31/?utm_source=gbp
B - Catering/Tiffin,Gaye Mata Ki Rasoi,restaurant,072899 27974,3,23,"Plot 1A, Lane 2, near Sector 17, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4652770177483581426&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://magicpin.in/Gurgaon/Sector-18/Restaurant/Gaye-Mata-Ki-Rasoi/store/3ac6b8/?utm_source=gbp
B - Catering/Tiffin,Royal Cuisine Caterers,catering_service,099110 65459,4.8,17,"S- 5/16, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5513032994449191752&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://royalcuisinecaterers.com/index.html
B - Catering/Tiffin,Maa ki Rasoi,indian_restaurant,084485 52646,5,2,"V block lane, no V-21, DLF PHASE 3, Nathupur, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8720045819822660999&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Catering/Tiffin,Dadi Ki Rasoi,cafe,088003 19100,,,"Plot No. 402, Phase III, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=14511766266374384910&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,Subway Ambience Mall,fast_food_restaurant,073037 14346,3.5,49,"Ambience Mall 3, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1542245316527331220&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://subway.in/
B - Fast Food,"Golden Grillz - 309-310, Phase IV, Udyog Vihar,",fast_food_restaurant,098919 22696,4.5,48,"309-310, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=8782188392977460725&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
