phone_number,contact_phone,contact_name,known_name,city,source,is_first_call,call_count,days_since_last_call,memory_summary,past_outcome,known_facts,next_action,do_not_call,business_name,segment,type,rating,reviews,address,maps_link,website,roles_needed,status,notes
+918178403858,+918178403858,Curry Garden,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.6★ (1252 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Curry Garden,Restaurant,north_indian_restaurant,4.6,1252,"Near Atul Kataria Chowk, Old, Old Delhi Gurugram Rd, next to Sapna Nursery, Rajiv Nagar, Sector 13, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=7838862556383106487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+919953660799,+919953660799,Amber Wall Restaurant,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.8★ (60 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Amber Wall Restaurant,Restaurant,restaurant,4.8,60,"6th floor, Hotel Amber Palace, 29/4, Anamika Enclave, Sector 14, Gurugram, Haryana 122007, India",https://maps.google.com/?cid=17995679024574870452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.amberpalacehotels.com/,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+919213777333,+919213777333,Dana Choga,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4★ (7029 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Dana Choga,Restaurant,north_indian_restaurant,4,7029,"Shop no 7 & 8, Old Delhi Gurgaon Road, Atul Kataria Chowk, near Air Force Station, Rajiv Nagar, Sector 14, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=9537693992723330437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.danachoga.com/,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+919266981113,+919266981113,Saahib’s Mughlai Kitchen,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.3★ (195 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Saahib’s Mughlai Kitchen,Restaurant,north_indian_restaurant,4.3,195,"SHOP No. 1, Huda Market Rd, DLF Colony, Sector 14, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=10057579271830761341&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+911244085255,+911244085255,Kabab & Curry,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.3★ (1198 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Kabab & Curry,Restaurant,north_indian_restaurant,4.3,1198,"Shop No. 11, Market Complex, Near Mehrauli Road, Sector 14, DLF Colony, Sector 14, Gurugram, Haryana 122007, India",https://maps.google.com/?cid=13516288347302820439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+919821269126,+919821269126,Adbhutam cafe,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.8★ (410 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Adbhutam cafe,Restaurant,restaurant,4.8,410,"Shop no, Ground floor, HSVP market, SCF 21, Sector 14, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=13396790443056565787&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.adbhutam.co.in/,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+919220270600,+919220270600,Apni Rasoi - Sector 14 Gurugram,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.6★ (135 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Apni Rasoi - Sector 14 Gurugram,Restaurant,restaurant,4.6,135,"Shop No. 17, Huda Market, DLF Colony, Sector 14, Gurugram, Haryana 122007, India",https://maps.google.com/?cid=15680396048780519323&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://apnirasoi.co.in/,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+918071890245,+918071890245,Haldiram's - Gurugram Sector 14,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.4★ (3180 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Haldiram's - Gurugram Sector 14,Restaurant,family_restaurant,4.4,3180,"SCO 17, Industrial Estate, Sector 14, Gurugram, Haryana 122007, India",https://maps.google.com/?cid=16092989034369757752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://hrstores.haldiram.com/haldiram-s-gurugram-sector-14-restaurants-sector-14-gurugram-394804/Home?utm_source=locator&utm_medium=googleplaces,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+919220523869,+919220523869,Bikanervala | Sector 14 Gurugram,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.5★ (734 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,Bikanervala | Sector 14 Gurugram,Restaurant,family_restaurant,4.5,734,"IDC, Plot No. 91, Mehrauli-Gurgaon Rd, Industrial Development Area, Sector 14, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=4075130288368549650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://bikanervala.com/,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
+919217534918,+919217534918,TASTEERA RESTAURANT & CAFE,,Gurugram,Google Maps,true,0,,,,"Restaurant in Gurugram, rated 4.7★ (401 reviews); Switch can staff: Waiter, Kitchen Helper, Cook, Dishwasher",First outreach: introduce Switch on-demand staffing; qualify roles & headcount needed.,false,TASTEERA RESTAURANT & CAFE,Restaurant,cafe,4.7,401,"FIRST FLOOR, Huda Market, SCO NO. 40, Sector 31, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=9560527020067582486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://tasteera.in/,"Waiter, Kitchen Helper, Cook, Dishwasher",New,
