Priority,Business Name,Type,phone_number,Rating,Reviews,Address,Maps Link,Website,Status,Roles Needed,Headcount,Next Follow-up,Notes
Manufacturing company,STERLING MANUFACTURING COMPANY,manufacturer,+919310644419,4.8,194,"2nd Floor, 249, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=15093277887131183960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://sterlingmfgco.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Kadimi Tool Manufacturing Company (P) Ltd.,manufacturer,+911242347205,4.7,123,"118, Udyog Vihar Phase 1, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13522509258913366694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kadimitool.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Jumps Auto Industries Limited,manufacturer,+911244710100,4.5,76,"C2Q6+PCX, 125, Pace City I, Sector 37, Gurugram, Haryana 122004, India",https://maps.google.com/?cid=16918565503079370471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.jumpsindia.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Lyra Industrials,manufacturer,+919810027525,4,30,"Plot No-155, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=1338855117880449730&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.lyraindustrials.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,JTEKT Electronics India,manufacturer,+911244234274,4,31,"786 Ground Floor, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16707232907754392717&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://jtektele.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Neolite Industries,manufacturer,+911276306306,3.4,8,"Plot No-396, Udyog Vihar, Phase-III, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9949560449100301308&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.neolitezkw.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,MULTIVISTA GLOBAL PVT LTD,manufacturer,+911244873430,4.9,50,"Plot No. 470, Ground Floor, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13237190562453642508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://multivistaglobal.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Meatington,manufacturer,+917415656741,4.8,65,"223, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10824758019031915517&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://meatington.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Unbox Industry,manufacturer,+918418841816,5,4,"619, Ground Floor, Udyog Vihar Phase V Rd, Udyog Vihar 3, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=7957888270802089509&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://unboxindustry.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Apothecaries Sundries Mfg. Pvt. Ltd ( ASCO Gurgaon),manufacturer,+918527833018,4.6,15,"229, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=6279832552657445217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://ascomedical.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Nutro Life Science - Corporate Office,manufacturer,+918847356318,5,26,"ENKAY TOWER, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2313340355140963931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.nutrolifescience.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,SPACE TELELINK LIMITED,manufacturer,+919971799033,5,54,"278, Udyog Vihar II Rd, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=18074601528333987573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://spacetelelink.in/,New,"Helper, Machine Operator, Packer, Loader",,,
