Priority,Business Name,Category,Suggested Roles to Pitch,Phone,Address,Maps,Status,Owner,Last Contact,Next Action,Notes
P1,Yum Yum Cha,asian_restaurant,"Kitchen helper, dishwasher, waiter, delivery boy",098100 02993,"Tuli House, 90, Phase IV, DLF Phase 2, Sector 24, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10879940551539383280&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Aman General store,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",099715 31044,"25A, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4516020433496524441&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Bakegram Bakery and Cake Shop,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",089299 09299,"Ground Floor, Basant Complex, near Vishal Mega Mart, opposite Royal Rooms PG, Udyog Vihar, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=5122133576596245425&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Blissful Bites by Juhie,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",098917 46380,"14, V-2, V Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8652780845392911685&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,CakeZone,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",073494 16166,"FIRST FLOOR, 832, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=5810093109020599706&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Do Not Miss Out,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",097182 29973,"Shop No2, Sikanderpur Market, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14763682771868936299&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Harsh baker,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",079004 48541,"near tikona park, DLF Phase 2, Sector 25, Sarhol, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7020085316491892027&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Magnolia Bakery,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",077608 70826,"Shop No: 8C/GF/5, Ground Floor, Cyber Hub, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9409591544465172722&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Om Prakash Mandal,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",070656 88663,"5, Balveer Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10481617225190059216&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
P1,Sun Sine Cakes,bakery,"Kitchen helper, dishwasher, waiter, delivery boy",095821 38997,"Shop No 1, 28, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16378000024798112566&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,Not contacted,,,,
