name,area,category,staff_potential,phone,website,address,maps,phone_source,enrich_note
DT Mega Mall,DLF Phase 1,supermarket,HIGH,,,,https://www.openstreetmap.org/node/410058752,none,
Reliance Super,DLF Phase 1,supermarket,HIGH,,,,https://www.openstreetmap.org/node/482664058,none,
Spencer's,DLF Phase 1,supermarket,HIGH,,https://www.spencers.in/,Mehrauli Gurgaon Road,https://www.openstreetmap.org/node/1579182266,none,
Starbucks,DLF Phase 1,cafe,HIGH,,,,https://www.openstreetmap.org/node/6071161049,none,
Divine Look Clinic Centre 1,DLF Phase 1,clinic,HIGH,,http://www.divinelook.in/,,https://www.openstreetmap.org/node/6993921094,none,
Sikka Maternity And Surgical Center,DLF Phase 1,hospital,HIGH,0124-2351329,,,https://www.openstreetmap.org/node/7010378677,web,Dr. Vijay Kumar Sikka
Guftagu Cafe,DLF Phase 1,cafe,HIGH,,,,https://www.openstreetmap.org/node/10209710086,none,
Dr Lal Pathlabs,DLF Phase 1,hospital,HIGH,,,,https://www.openstreetmap.org/node/11750077269,none,
Barista,DLF Phase 1,cafe,HIGH,,,,https://www.openstreetmap.org/node/13175452489,none,
Sibang Bakery,DLF Phase 1,cafe,HIGH,,,,https://www.openstreetmap.org/node/13175452490,none,
Seven Barrel Brew Pub,DLF Phase 1,bar,HIGH,+91-95992-30886;+91-72178-19353,,"Golf Course Road, DLF Phase 1",https://www.openstreetmap.org/node/13175452494,osm,
Fat Tiger,DLF Phase 1,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13175452496,none,
The Golden Dragon,DLF Phase 1,restaurant,HIGH,0124-4058000,,,https://www.openstreetmap.org/node/13175500408,web,DT Mega Mall
Capital Diner,DLF Phase 1,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13175500411,none,
Chai Town Cafe,DLF Phase 1,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13175500412,none,
Yo! Dimsum,DLF Phase 1,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13175500415,none,
Gulati,DLF Phase 1,restaurant,HIGH,+91 124 428 1929,https://gulatirestaurant.co,,https://www.openstreetmap.org/node/13175500421,web,
Gulati Indian Food,DLF Phase 1,restaurant,HIGH,+91 124 428 1929,,,https://www.openstreetmap.org/node/13176626194,web,same venue as Gulati
Apollo Diagnostics,DLF Phase 1,clinic,HIGH,+91 124100021,,,https://www.openstreetmap.org/node/13176643012,osm,
Dermapuritys Aesthetic Clinic,DLF Phase 1,clinic,HIGH,+91 73039 10800,,,https://www.openstreetmap.org/node/13176646904,web,alt 8766310130
Chaayos,DLF Phase 1,cafe,HIGH,,,,https://www.openstreetmap.org/node/13243334782,none,
The Coffee Bean & Tea Leaf,DLF Phase 1,cafe,HIGH,,,,https://www.openstreetmap.org/node/13243334785,none,
Blue Tokai Coffee Roasters,DLF Phase 1,cafe,HIGH,,,,https://www.openstreetmap.org/node/13243334788,none,
Anisa Tavisha Villa,DLF Phase 1,hotel,HIGH,,,,https://www.openstreetmap.org/node/13640172502,none,
Anisa Tavisha Villa,DLF Phase 1,hotel,HIGH,,,,https://www.openstreetmap.org/node/13640175401,none,
Mega Mall,DLF Phase 1,mall,HIGH,,,,https://www.openstreetmap.org/way/42946057,none,
JMD Regent Plaza,DLF Phase 1,mall,HIGH,9625318281,,,https://www.openstreetmap.org/way/43022517,osm,
Fortune Hotel,DLF Phase 1,hotel,HIGH,,,,https://www.openstreetmap.org/way/144272764,none,
