Business Name,Primary Type,Phone,Rating,Reviews,Address,Maps Link,Website
Cloud kitchen Gurgaon,restaurant,078887 93494,5,1,"7, Chanderlok, DLF City IV, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8061120027705305212&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
"The Croffle Guys | Udyog Vihar, Cloud Kitchen",restaurant,093548 55455,4.7,7,"651, Udyog Vihar Phase V Rd, Udyog Vihar 3, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13064431075310700087&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.thecroffleguys.com/
Cloud Kitchen Tasty Home Food,meal_takeaway,098186 91398,4,4,"Noble Enclave Palam Vihar Extension, 87, Noble Enclave Road, Noble Enclave, Palam Vihar Extension, Gurugram, Noble Enclave, Palam Vihar Extension, Delhi NCR, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=2926310950810164512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
The Kurry Tadka | catering and food delivery Service,food_court,098109 97870,4.9,26,"H. No. 1214, Jharsa, Sector 46, Gurugram, Haryana 122022, India",https://maps.google.com/?cid=2594693085306257266&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://zomato.onelink.me/xqzv/w2ezckyu
Curry Ghar – Hyderabad Style South Indian Cloud Kitchen,food_court,,5,1,"U 54, Cyber City, 5, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 120010, India",https://maps.google.com/?cid=4218879103298845160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
FOOD iN JOY (A Cloud Kitchen),restaurant,088004 36962,4.9,11,"DSS 104, Mini, Huda Market, Sector 31, near Canara Bank, Sector 31, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=6771728030326583459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
The Minimalist Foodiee Cloud Kitchen.,food_court,092782 58705,4.5,36,"PLOT NO . 79, behind GRAMIN BANK, Jharsa, Kilhore Patti, Jharsa Village, Sector 39, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=6369493241426146274&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Mukku's Kitchen – Cloud Kitchen & Tiffin Service,restaurant,095845 50787,4.9,34,"F Block, Suncity, Sector 54, Gurugram, Haryana 122011, India",https://maps.google.com/?cid=4671810233434927931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
HotBox Cloud Kitchen,wholesaler,097114 99151,5,16,"HotBox, House No 14, Gali No. A10, Block C, Ashok Vihar Phase III Extension, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=13779203263597867844&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://hotbox-cloud-kitchen.grexa.site/
Cloudnine Kitchen Services,breakfast_restaurant,,5,1,"Shop No 5, Mini, Huda Market, Sector 31, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=12905932294762941156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Colonel's Kababz | Corporate Office & Cloud Kitchen,north_indian_restaurant,098683 74769,3.5,10,"GROUND FLOOR, 832, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, New Delhi, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=325508217810332655&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Tadka Cloud Kitchen,food_store,,5,10,"Subhash Nagar, Sector 12, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=10256031068817847320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Tasty Heaven By Jerrie & Snow(Cloud Kitchen),restaurant,098293 90719,5,4,"Av. 69, Sector 69, Gurugram, Haryana 122101, India",https://maps.google.com/?cid=8564192299510912767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://link.zomato.com/xqzv/rshare?id=12626794030563ca4
Richa cloud kitchen,chinese_restaurant,070653 67848,4.9,10,"House no.57a, phase 3, ganga vihar, Gali Number 3, Old Rajender Nagar, Nihali Colony, Sector 110, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=11928362674114589045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
MAA CLOUD KITCHEN,meal_delivery,088603 26332,5,7,"1073, Kamla Apartments, 2, Jharsa, Jharsa Village, Sector 39, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=7451304807547182571&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Addu cloud kitchen and tiffin,restaurant,072740 66054,5,3,"houseno/216, Housing board colony, near LOTUS VALLEY SCHOOL, Tigra, Sector 57, Gurugram, Haryana 122011, India",https://maps.google.com/?cid=12786758509258926467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Street Foods By Punjab Grill Cloud Kitchen Udyog Vihar,indian_restaurant,081305 76710,2.7,35,"268, Rao Gajraj Singh Marg, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=17869189394635880354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.lbf.co.in/brand/street-foods-by-punjab-grill
Claypot Kitchens,north_indian_restaurant,093112 12800,4.9,455,"SCO-23, Housing Board Shopping Complex, opposite Maruti Vihar Exit Gate Road, near Mehrauli-Gurgaon Road, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5644307322043600528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BFFbites -cloud kitchen,north_indian_restaurant,098701 29142,5,2,"Friends colony, Ashram chowk, Bhondsi, Maruti Kunj, Gurugram, Haryana 122102, India",https://maps.google.com/?cid=8156956847417395760&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Housewives kitchen,store,096540 03419,4.6,409,"Shree Ram Complex, Building 3, 2, C-Block, above Nirulas, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=6411650309954744856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Kalakaari,north_indian_restaurant,099900 70307,4,35,"Vijay Complex, A Block Main Rd, Chanderlok, DLF Phase IV, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=5604507333598893959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kalakaarikitchen.com/
Aamar Cloud Kitchen,indian_restaurant,087960 88249,4,1,"House 647, Chakkarpur, near Radha Krishna Mandir Road, sector 28, Kapas Hera, Gurugram, New Delhi, Delhi 110097, India",https://maps.google.com/?cid=4853157775225987452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Hema's Cloud kitchen,food,085955 31610,5,17,"Sector 76, Gurugram, Haryana 122012, India",https://maps.google.com/?cid=13212796133169891160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
kuldeep cloud kitchen,indian_restaurant,,4.1,9,"H no C112, Sai Kunj New Palam Vihar, A, Lane No. V-28, Sai Kunj, Block A, New Palam Vihar Phase 3, Sector 110A, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=17165113561293657833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Chef king Cloud Kitchens & Restaurant Pvt.Ltd,fast_food_restaurant,098127 06320,3.7,20,"1 Bhangrola Road Bass Gaon, Sector 15, Imt Manesar, Gurugram, Haryana 122505, India",https://maps.google.com/?cid=2436895652090317802&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
"Cavaza - Indian, Continental & Chinese food cloud kitchen",restaurant,085952 28292,5,12,"Booth 40/38, HUDA Market, Islampur Colony, Sector 38, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=2364781863643616008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.cavaza.in/
