name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
SOL Salon,beauty_salon,beauty_salon|service|point_of_interest|establishment,,,"2514, Block C, Phase 1, Sushant Lok, Gurugram, Haryana 122001, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",4.8,80,OPERATIONAL,https://maps.google.com/?cid=2465880990376780410&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ4-rpsSMZDTkReuLLKbKROCI
Only Vegan,restaurant,restaurant|food|point_of_interest|establishment,070115 86545,,"2519, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,3,CLOSED_TEMPORARILY,https://maps.google.com/?cid=6891923895691313771&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJHd5wW4YZDTkRawK1pUQIpV8
Bolti Band Paan,store,store|point_of_interest|establishment,,,"2506, mall, near Gold Souk, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=16703329849693157859&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJm63g9M8ZDTkR47kjEQAmzuc
Enviroce India Pvt Ltd,general_contractor,general_contractor|service|point_of_interest|establishment,096250 94805,,"2519a, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.9,11,OPERATIONAL,https://maps.google.com/?cid=13021047177928249963&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ34dK-qUZDTkRaxIEfGsNtLQ
TARUN YADAV Advocate,consultant,consultant|service|point_of_interest|establishment,,,"2519A, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=9146122833389333909&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJJZ-1peoYDTkRla1CPEKO7X4
Set Your Biz company registration Solutions,consultant,consultant|accounting|finance|service|point_of_interest|establishment,,https://www.setyourbiz.com/,"2519-A, Vyapar Kendra Rd, Phase -1, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=2948530717750256242&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ9bQsIJ0ZDTkRcuLU2BBJ6yg
Vastu Nest,consultant,consultant|service|point_of_interest|establishment,093178 95125,,"C 2519 A, mall, in front of Gold Souk, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,3,OPERATIONAL,https://maps.google.com/?cid=15975052806757892782&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJefKXyhMZDTkRrkLpZuPJst0
Enpower Process Consultants Pvt. Ltd.,consultant,consultant|service|point_of_interest|establishment,098112 97283,http://www.enpower.pro/,"C-2510, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,2,OPERATIONAL,https://maps.google.com/?cid=11322583417326059766&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJpes2qOoYDTkR9sBy4aDlIZ0
"Gate exists, Sushant lok, gold souk mall",service,service|point_of_interest|establishment,,,"F32H+5HG, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4,2,OPERATIONAL,https://maps.google.com/?cid=15574188496600115265&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJl_7zHnUZDTkRQSjTDOyhItg
Gemkara Private Limited,jewelry_store,jewelry_store|wholesaler|store|manufacturer|service|point_of_interest|establishment,0124 408 8666,https://www.gemkara.com/,"SF-18, Gold Souk, Mall, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.9,5284,OPERATIONAL,https://maps.google.com/?cid=10636057153116730191&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJt4_V618ZDTkRT3NG5qDdmpM
PG,lodging,lodging|service|point_of_interest|establishment,,https://in.pg.com/,"2509, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,1,OPERATIONAL,https://maps.google.com/?cid=18248828950629276584&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJN8kwEwAZDTkRqFsfgT7dQP0
Tanishq Jewellery - Gurgaon - Gold Souk,jewelry_store,jewelry_store|store|manufacturer|service|point_of_interest|establishment,0124 487 5999,https://stores.tanishq.co.in/store-locator/jewellery-stores/haryana/gurgaon-goldsouk/GST,"Showroom: No. 22,23,24, Ground Floor, Gold Souk, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.6,2709,OPERATIONAL,https://maps.google.com/?cid=9683587409651127379&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJI4a-gyofDTkRU1Szd3EDY4Y
Chaurasia Pan Bhandar,store,store|point_of_interest|establishment,087502 82157,,"C /2514, Lgf, Gold Souk, Mall, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4,5,CLOSED_TEMPORARILY,https://maps.google.com/?cid=9244011827116813561&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJc8l1HcAYDTkR-azOpsdTSYA
