name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Digital Payment One Time,fast_food_restaurant,fast_food_restaurant|restaurant|point_of_interest|food|establishment,099111 44761,,"Maidawas Rd, near Ram Mohan Mandir, Medawas, Sector 64, Bhuyapur, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=7544407847332982803&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJD9xu8RMjDTkRE7DzFPces2g
LavisHomes,real_estate_agency,real_estate_agency|service|point_of_interest|establishment,,https://lavishomes.in/,"Paras Trinity, Sector 62, Gurugram, Haryana 122011, India",5,6,CLOSED_TEMPORARILY,https://maps.google.com/?cid=872561144903983607&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJtyiUIm6zuqwR92HP_rz1Gww
Santosh Yadav crane services,service,service|point_of_interest|establishment,098706 91913,,"Prajapati Rd, Badshahpur, Sector 65, Gurugram, Haryana 122102, India",,,OPERATIONAL,https://maps.google.com/?cid=3935636519383324834&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJOc7SgXMjDTkRotjl_o8wnjY
Sabir mobaile riperig shop,apartment_building,apartment_building|service|point_of_interest|establishment,,,"93VC+6M5, Sector 64, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=13397969591775349945&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJlxJpYQAjDTkRuUxBtVsm77k
"Heritage Xperiential Learning School, Sector 64",school,secondary_school|primary_school|preschool|child_care_agency|school|educational_institution|service|point_of_interest|establishment,092891 20340,https://www.heritagexperiential.org/,"5, Prajapati Rd, Sector 64, Gurugram, Haryana 122005, India",,,OPERATIONAL,https://maps.google.com/?cid=16442003615421196140&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJXT2aJc0jDTkRbGfevCy7LeQ
Starcrest proposed site 1 near worldmark,parking_lot,parking_lot|parking|service|transportation_service|point_of_interest|establishment,,,"5, Sector 48, Gurugram, Haryana 122101, India",3,1,OPERATIONAL,https://maps.google.com/?cid=10914153521472785019&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJR3AacG4jDTkRe8p2V83cdpc
Kadarpur Rd Bengali Colony Sector 64 কাদারপুর রোড বাঙালি কলোনি সেক্টর 64,association_or_organization,association_or_organization|service|point_of_interest|establishment,,,"Maidawas Village Road, behind World Mark, Medawas, Sector 64, Gurugram, Haryana 122101, India",5,1,OPERATIONAL,https://maps.google.com/?cid=16634282478252932886&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJbzuEHwAjDTkRFj_FIcjX2OY
Atanu (grocery shop),point_of_interest,point_of_interest|establishment,,,"93VC+V89, Sector 64, Gurugram, Haryana 122101, India",5,2,CLOSED_TEMPORARILY,https://maps.google.com/?cid=16956359888332815227&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJO6kHJAAjDTkRe3vC03oXUes
Shri Balaji Trading ( Pepsi ),storage,storage|point_of_interest|establishment,,,"93VC+V89, Sector 64, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=14778793948881503616&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJr6P0XAAjDTkRgEXGi8vSGM0
Awasthi Cab service,taxi_service,taxi_service|service|transportation_service|point_of_interest|establishment,098719 54688,,"Sector 64, Gurugram, Haryana 122101, India",4.9,12,OPERATIONAL,https://maps.google.com/?cid=15103234562186089888&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJXbh_bScjDTkRoBWBXtB3mdE
Black Orange Talent Pvt. Ltd.,educational_institution,educational_institution|point_of_interest|establishment,,,"INTERNATIONAL SCHOOL OF BUSINESS & MEDIA ISB&M School of Technology, Road, Sector 64, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=12379067258019330064&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJx5kGP-kjDTkREDjphBVIy6s
Riddhi service station,car_wash,car_wash|service|point_of_interest|establishment,088004 42191,,"Sector 64 Village, Maidawas Rd, Sector 64, Gurugram, Haryana 122101, India",3.9,20,OPERATIONAL,https://maps.google.com/?cid=1995783520933729550&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ0-CX0kUiDTkRDlXVxYlyshs
ISB&M Gurgaon,educational_institution,educational_institution|point_of_interest|establishment,099111 68573,,"93V9+89P, Sector 64, Gurugram, Haryana 122101, India",5,1,CLOSED_TEMPORARILY,https://maps.google.com/?cid=11802060632265234907&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJY3q1hXUjDTkR25nKc51XyaM
Sofiya,housing_complex,housing_complex|service|point_of_interest|establishment,,,"93VC+XC7, Sector 64, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=5258959079107122959&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJIaVRSgAjDTkRD9d-VmuT-0g
VODKA PRIVATE FARM HOUSE,lodging,lodging|point_of_interest|establishment,,,"Sector 64, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=7186453553115176892&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJbQzQWUQiDTkRvB9GXG5pu2M
Raj,barbecue_area,barbecue_area|point_of_interest|establishment,,,"93V9+VF5, Sector 64, Gurugram, Haryana 122101, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=6569111082326156899&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJP4VMLgAjDTkRY-YhiLkrKls
Heritage Experiential 64 Sector - Drop Point,point_of_interest,point_of_interest|establishment,,,"93R9+CPR, Sector 64, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=12947951207665401090&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJFY9KSwAjDTkRAn38rQVdsLM
Bidyut Paan Shop,store,store|point_of_interest|establishment,074950 30132,,"near Wine Shop, Badshahpur, Sector 62, Gurugram, Haryana 122101, India",4.8,9,OPERATIONAL,https://maps.google.com/?cid=15642500879270955291&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJre703y4jDTkRG0muE6xTFdk
Detroit,manufacturer,manufacturer|point_of_interest|establishment,,,"93R9+R88, Sector 64, Gurugram, Haryana 122101, India",5,1,CLOSED_TEMPORARILY,https://maps.google.com/?cid=5905595439768642104&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ2WN4bQAjDTkROKKTZsPj9FE
KHATANA ROOMS,bed_and_breakfast,bed_and_breakfast|lodging|point_of_interest|establishment,,,"93V8+6RF, Sector 64, Gurugram, Haryana 122101, India",,,OPERATIONAL,https://maps.google.com/?cid=14143086971555219544&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJOex4OgAjDTkRWAgB16pWRsQ
ModPro Solution,service,point_of_interest|service|establishment,088519 98277,,"RS Tyagi House, near मोहन बाबा मंदिर, Medawas, Sector 64, Gurugram, Haryana 122101, India",4.8,4,OPERATIONAL,https://maps.google.com/?cid=679735425758064418&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ____C1AiDTkRIu-OscTnbgk
