name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Z K Creations,tailor,tailor|service|point_of_interest|establishment,097174 16483,,"C- 331A, near Shree Ram Complex, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4,5,OPERATIONAL,https://maps.google.com/?cid=442897502000327455&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJDbTpugIZDTkRHyujdu58JQY
Ever Green Fresh Market(Fauji market),grocery_store,grocery_store|food_store|store|point_of_interest|food|establishment,,,"301A, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.1,235,OPERATIONAL,https://maps.google.com/?cid=9965563286736033352&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJkQuOyMEYDTkRSFaTbALLTIo
Jds utilitues gurgaon office,corporate_office,corporate_office|point_of_interest|establishment,099990 05759,,"Shri Ram omplex 2nd floor above SRS value Bazar C Sushant Lok1 122002, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.5,8,CLOSED_TEMPORARILY,https://maps.google.com/?cid=1540955301547992202&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJA9PTscEYDTkRiuSFs66SYhU
Khoobsurat Beauty Salon,beauty_salon,beauty_salon|service|point_of_interest|establishment,098102 22850,,"C322A, opposite Spencer, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",4.8,33,OPERATIONAL,https://maps.google.com/?cid=9105050217529130995&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJE7g41HAZDTkR87_qpe6iW34
Curl Fitness Sushant Lok Phase 1,gym,gym|sports_activity_location|health|point_of_interest|establishment,099535 59947,https://www.instagram.com/curlfitness_sushantlok_/,"2nd floor, Shri Ram complex, behind ROF Mall, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",4.9,372,OPERATIONAL,https://maps.google.com/?cid=14845077784635985446&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJt2dKfoQZDTkRJk5FsJdPBM4
Zyur Thai Spa,spa,spa|sauna|massage_spa|beauty_salon|public_bath|massage|service|health|point_of_interest|establishment,099998 95301,https://www.zyurthaispa.com/sushant-lok.php,"Rof Portico mall, 1st floor, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.8,184,OPERATIONAL,https://maps.google.com/?cid=16121614535598663195&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJe0MqZdcZDTkRG-YhEAF7u98
OTWOGYMS,gym,gym|sports_activity_location|health|point_of_interest|establishment,099112 43344,http://otwogyms.com/,"Shri Ram Complex, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.3,376,OPERATIONAL,https://maps.google.com/?cid=5620165007815351803&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ_8XgrcEYDTkR-x3qNUzW_k0
Sushant Lok Block c 329A,corporate_office,corporate_office|point_of_interest|establishment,,,"F33J+5Q7, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,2,OPERATIONAL,https://maps.google.com/?cid=9528363377123129558&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ_fLsfgAZDTkR1vhDEAKMO4Q
"Dr Vipra Shree, Medical and Surgical Day Care Centre, Go Health.In, Near Goldsuk Mal, 329 -B, Vita Dairy, Near Maple Heights Apartment. Shushant lok 1,Gurgaon",hospital,hospital|service|health|point_of_interest|establishment,099999 99103,,"329 B, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.4,7,OPERATIONAL,https://maps.google.com/?cid=7705440421644884864&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJrQd7U8AYDTkRgFsUAj0572o
Pickle At The Top | Sector 43,sports_club,sports_club|association_or_organization|point_of_interest|establishment,,https://hudle.in/venues/pickle-at-the-top-sector-43-gurgaon/862717,"Rooftop, Sri Ram Complex, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.6,56,OPERATIONAL,https://maps.google.com/?cid=5204556747868765903&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ8f80PnYZDTkRz34UislMOkg
