name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Gaurav Monga,service,point_of_interest|service|establishment,,,"2649, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=6171127811785708008&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJYyO_YwAjDTkR6FEFfQxApFU
"2653, Sushant Lok 2, Sector 57",apartment_building,apartment_building|point_of_interest|service|establishment,,,"Plot No. 2653, behind Hong Kong Bazaar, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",3,1,OPERATIONAL,https://maps.google.com/?cid=16343775711658737736&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJP-y4BNEjDTkRSIATrmrB0OI
Arinco Infra,service,point_of_interest|service|establishment,088009 00669,https://arincoinfra.com/,"2647, Ground Floor, Hong Kong Bazaar, Sushant Lok-II, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=5519619170832129383&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJMVnbGAAjDTkRZ53iRGSgmUw
D K Tailor,tailor,tailor|point_of_interest|service|establishment,095602 66957,,"Plot No F, 27J1, near Hong Kong Bazaar Road, Sushant Lok, Block F, Sushant Lok 2, Sector 56, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=1241179781461258779&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJOybDaWEjDTkRGzJlaG-OORE
Cloud Residency,lodging,lodging|point_of_interest|establishment,088609 35909,https://cloudresidency.com/,"F - 188, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",4.5,161,OPERATIONAL,https://maps.google.com/?cid=490782332076732889&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJLUPow_kjDTkR2bF4Re6bzwY
Riyaz Kala Kendra by Richa Makkar,association_or_organization,association_or_organization|point_of_interest|establishment,094164 37468,,"F- Block, Plot 2658, near Hong Kong Bazaar, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122003, India",5,26,OPERATIONAL,https://maps.google.com/?cid=11127244700954822117&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJEVSIadsjDTkR5YVC0Rnqa5o
TAGLIONI ALLONGÉ 2648,sports_school,sports_school|association_or_organization|point_of_interest|establishment,097116 22025,,"2648, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",5,3,OPERATIONAL,https://maps.google.com/?cid=5588911219843617570&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJDyFTBwAjDTkRIlP5oyTNj00
Pooja Chauhan Dry Cleaners,laundry,laundry|point_of_interest|service|establishment,079826 63665,,"F Block, near Hong Kong Bazaar, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=3574869214985528812&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJyc74mY8jDTkR7CWxTZx8nDE
Central Library,library,library|point_of_interest|service|establishment,085957 51509,,"Central Library, 2622, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",4.9,335,OPERATIONAL,https://maps.google.com/?cid=607817322209717170&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJTXoUWmUjDTkRsqujWqJmbwg
Santosh's Nest,apartment_building,apartment_building|point_of_interest|service|establishment,,,"2646, Second floor, Block F, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=12868154628249016601&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJA6fpFwAjDTkRGdmUu3TelLI
