name,category,phone,website,address,distance_m,osm
Bain & Company,company,+91 124 475 1500,https://www.bain.com/offices/india/en_us/index.aspx,,24,https://www.openstreetmap.org/node/4498883706
P. F. Chang's,restaurant,,,,55,https://www.openstreetmap.org/node/13293400515
Farzi Cafe,restaurant,,,,56,https://www.openstreetmap.org/node/13293400518
Laid Back Cafe,restaurant,,,,56,https://www.openstreetmap.org/node/13293400528
Chili's,restaurant,,,,58,https://www.openstreetmap.org/node/13293400521
Cafe Delhi Heights,restaurant,,,,61,https://www.openstreetmap.org/node/13293400524
Nike,clothes,,,,66,https://www.openstreetmap.org/node/13293400513
Made In Punjab,restaurant,,,,71,https://www.openstreetmap.org/node/13293400527
Kings Kulfi,ice_cream,,,,72,https://www.openstreetmap.org/node/13295285678
Unicorn,electronics,,,,74,https://www.openstreetmap.org/node/13293400506
Nando's,restaurant,,,,80,https://www.openstreetmap.org/node/13293400555
Cafeteria & Co,restaurant,,,,85,https://www.openstreetmap.org/node/13293400552
Copper Chimney,restaurant,+91 8976792319;+91 8976792315,,,90,https://www.openstreetmap.org/node/13293400549
Tim Hortons,cafe,,,,93,https://www.openstreetmap.org/node/13293400504
Vietnom,restaurant,,,,98,https://www.openstreetmap.org/node/13293400546
The Laugh Store,pub,,https://thelaughstore.in/,"4D, Tower 8C, DLF Cyber City, Gurugram",104,https://www.openstreetmap.org/node/13703530369
The Beer Cafe,bar,,,,105,https://www.openstreetmap.org/node/13295285680
Punjab Grill,restaurant,,,,107,https://www.openstreetmap.org/node/13293400543
The Body Shop,cosmetics,,,,112,https://www.openstreetmap.org/node/13295285681
Tablespoon,restaurant,,https://tbsp.in/,,118,https://www.openstreetmap.org/node/13293400537
Sunglass Hut,optician,,,,118,https://www.openstreetmap.org/node/13295285682
Cococart,chocolate,,,,118,https://www.openstreetmap.org/node/13295285683
Cafe Mez,restaurant,,,,124,https://www.openstreetmap.org/node/13293400534
The Wine Company,bar,,,,134,https://www.openstreetmap.org/node/13293400531
KPMG,company,01243074000,https://home.kpmg.com/in/en,"10C, P-5-P-4 Lane, DLF Cyber City, Sector 24, Phase II",160,https://www.openstreetmap.org/node/5550889022
DSV Air & Sea,company,+91 1247199900,https://www.dsv.com/,"Building No-10A, 3Rd Floor, Cyber City, Phase-2, Gurugram, Delhi-Gurugram Expressway, Gurgaon",181,https://www.openstreetmap.org/node/10310206480
CEVA Logistics India,company,,,,214,https://www.openstreetmap.org/node/1408740312
Jawed Habib BeautyXpresso Beauty Salon,hairdresser,,https://www.facebook.com/beauty.xpresso,"K9, Food Court, DLF Phase 2",246,https://www.openstreetmap.org/node/2401099308
World Laparoscopy Hospital,hospital,,,,278,https://www.openstreetmap.org/way/127245642
Mukesh Dhaba,restaurant,,,"Service Road, Gurgaon",314,https://www.openstreetmap.org/node/3642197067
Guavus Network Systems1,it,,,,349,https://www.openstreetmap.org/node/3749005710
The Body Shop India,supermarket,,,"UGF-B, Unit 4 B Ground Floor, Building No.10, Cyber Hub, Gurugram, Haryana 122002, gurugram",372,https://www.openstreetmap.org/node/8014425488
English Wine and Beer,alcohol,,,,376,https://www.openstreetmap.org/node/444208659
