name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
"248, Saraswati Vihar",apartment_building,apartment_building|point_of_interest|service|establishment,,,"229, Nathuram Market, A Block, Chakkarpur, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=5963587815195368373&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJAYqEcgAZDTkRtVuRf4XrwlI
ElectricPe Charging Station,electric_vehicle_charging_station,electric_vehicle_charging_station|point_of_interest|transportation_service|establishment,,,"F3FM+84R, nearby Amit cinema, Nathuram Market, Sector 28, sector 18, Sarhol, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=14659094293909457663&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJQ6rOhSAZDTkR_8pt1ZeQb8s
Dr. Fixit - S S Traders Chhakarpur,service,manufacturer|point_of_interest|service|establishment,088794 65512,https://stores.drfixit.co.in/dr-fixit-s-s-traders-chhakarpur-s-s-traders-chhakarpur-waterproofing-company-chakkarpur-gurugram-233121/Home?utm_source=locator&utm_medium=googleplaces,"Shope No 2, near SS Tower, Nathuram Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=13770623171661737363&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJKRpIqUgZDTkRky2pktAUG78
Townhouse Royal Suites Near Aravali Biodiversity Park,hotel,hotel|motel|cottage|inn|guest_house|lodging|point_of_interest|service|establishment,0124 433 0575,https://www.oyorooms.com/201057/,"rapid metro station, plot no. 107, near dlf phase 1, Nathuram Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",3.1,9,OPERATIONAL,https://maps.google.com/?cid=16519554135773749954&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJgyNsYYcZDTkRwiKhTvY-QeU
Mirae Asset Sharekhan - Authorised Partner,finance,finance|point_of_interest|establishment,080 6417 1454,https://stockbroker-branch.sharekhan.com/mirae-asset-sharekhan-authorised-partner-brightmoon-capital-private-limited-stock-broker-sector-27-gurugram-545428/Home?utm_source=locator&utm_medium=googleplaces,"No 494, Lower Ground Floor, near Gas Godown, Nathuram Market, Sector 28, Chakkarpur, Sector 27, Gurugram, Haryana 122001, India",,,OPERATIONAL,https://maps.google.com/?cid=9615146921638597674&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJkV19PQgZDTkRKpR1ly7db4U
Atul Bagaria,insurance_agency,insurance_agency|health|finance|point_of_interest|service|establishment,099903 34949,,"116, 1st Floor, Vipul Agora Office, No -116, Mehrauli-Gurgaon Rd, near Sahara Mall, Nathuram Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=3564938661840416553&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJLTfz74kZDTkRKe8NOdM0eTE
Sd Printing press,manufacturer,manufacturer|store|point_of_interest|service|establishment,,http://sarkarprinters.com/,"BM Plaza, near Krishna Market Road, Nathuram Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=18347698320986343752&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJPwKlD58ZDTkRSAlspGkeoP4
Prerna Designer Boutique,clothing_store,clothing_store|store|point_of_interest|establishment,070110 56100,,"Yen cable network market, near Radha Krishna mandir, opp. power house, Nathuram Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.5,8,OPERATIONAL,https://maps.google.com/?cid=616595079263093632&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJBTQZZRwZDTkRgAO7LfWVjgg
OYO For U Near Omaxe Celebration Mall,hotel,hotel|motel|cottage|inn|guest_house|lodging|point_of_interest|service|establishment,0124 620 1166,https://www.oyorooms.com/39130/,"For, U 1275, Sec46, near Bakhtawar Chowk, Nathuram Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",3.8,70,OPERATIONAL,https://maps.google.com/?cid=10201041584931386157&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJSxn48vIZDTkRLbPSKEZhkY0
"232, Saraswati Vihar",apartment_complex,apartment_complex|point_of_interest|service|establishment,,,"F3FM+945, Nathuram Market, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",5,1,OPERATIONAL,https://maps.google.com/?cid=13399897080751512786&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJcQGAeAAZDTkR0tz8NGb_9bk
249 (-)ve energy black magic practice house,housing_complex,housing_complex|point_of_interest|service|establishment,,,"F3FM+92M, Nathuram Market, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",1,1,OPERATIONAL,https://maps.google.com/?cid=7422431349024464890&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJG-KwSAAZDTkR-p9TePzFAWc
uday prajapati,food_court,food_court|food|point_of_interest|establishment,070658 28538,,"Shop 3, Nathuram Market, Saraswati Vihar, Maruti Housing Colony, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=3279355096311184358&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ1W3uH1YZDTkR5rv-1xWcgi0
Akash Rao Sahab,apartment_building,apartment_building|point_of_interest|service|establishment,,,"F3FM+C3H, Nathuram Market, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",5,2,OPERATIONAL,https://maps.google.com/?cid=3612179928769653738&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJg2T1GpUZDTkR6mscz4EKITI
Balloon decoration,,point_of_interest|establishment,,http://www.kkdecoration.in/,"257, Nathuram Market, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122002, India",5,1,OPERATIONAL,https://maps.google.com/?cid=10931845439346542276&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJic5KbQAZDTkRxIa594G3tZc
STAR MOBILITY AND HOSPITALITY PRIVATE LIMITED | Car Rent in Gurugram | Taxi Service | Corporate car rental gurugram,,point_of_interest|establishment,085273 92490,https://www.starmobility.co.in/,"House No 244, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122002, India",5,4,OPERATIONAL,https://maps.google.com/?cid=3988956192811298340&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ4dPvee4ZDTkRJK4c4YWeWzc
Dash Internet Information & Technology,,astrologer|consultant|point_of_interest|service|establishment,,https://astroroot.com/,"225, Housing Board Colony, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",5,5,OPERATIONAL,https://maps.google.com/?cid=2948147584985810502&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJk0u6NiIZDTkRRkaBzJvs6Sg
SAFE ELECTRICAL,electrician,electrician|point_of_interest|service|establishment,098999 92191,http://www.safeelectrical.in/,"Nathuram Market, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",5,5,OPERATIONAL,https://maps.google.com/?cid=3130310411319736694&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJKT7EMAAZDTkRdnlr57sYcSs
"Keshav Park, Saraswati Vihar",park,park|point_of_interest|establishment,,,"180, Nathuram Market, A Block, Chakkarpur, Gurugram, Haryana 122002, India",3.9,33,OPERATIONAL,https://maps.google.com/?cid=10008316215875037594&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJo-FXmyAZDTkRmmkDb5Ku5Io
"Ghosh House, 157 Saraswati Vihar",association_or_organization,point_of_interest|association_or_organization|service|establishment,,,"F3FM+F66, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=9060817646822909985&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJzemJZgAZDTkRIWh4vaR9vn0
NK Global,manufacturer,manufacturer|point_of_interest|establishment,085869 34780,,"PLOT NO 155-156, 2nd Floor, F3FM+C3H, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",4.2,6,OPERATIONAL,https://maps.google.com/?cid=9509172856026955495&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJtemvoCQYDTkR5_5Fr1Re94M
Yadav appartment,condominium_complex,condominium_complex|point_of_interest|service|establishment,,,"F3FP+775, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=554972454422210875&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJAce0EQAZDTkRO2n2xYGoswc
Munazir khan Refrigerator & Ac Service,service,point_of_interest|service|establishment,075368 22700,https://munazir-khan.grexa.site/,"Lovely cyber cafe, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.9,28,OPERATIONAL,https://maps.google.com/?cid=16184663171808119075&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJXRdChYgZDTkRI0n4nGd5m-A
Shankar Mehta,food_store,food_store|store|food|point_of_interest|establishment,080104 37237,,"Shop No.3, Vijay Senema Road, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.5,11,OPERATIONAL,https://maps.google.com/?cid=10086088996782950108&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJkw2W7xUZDTkR3EY5EoH8-Is
New Shivam general store,general_store,general_store|grocery_store|food_store|store|food|point_of_interest|establishment,099101 44398,http://www.business.com/,"Lovely cuber cafe ,28,gurugram Chakkarpur gurugram Yadav chaupal house number 843 Chakkarpur gurugram Yadav chaupal house number 843 SB public school located Yadav chaupal house number 843, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.4,8,OPERATIONAL,https://maps.google.com/?cid=5852863136562718024&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ0wmtaUkZDTkRSKXMTQOMOVE
PR Cyber cafe and Mobile Repairing,internet_cafe,internet_cafe|finance|point_of_interest|service|establishment,,,"832, Chakkarpur Village Rd, Chakkarpur Village, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",5,6,OPERATIONAL,https://maps.google.com/?cid=3959758795246763657&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ717NegAZDTkRiX7pAqXj8zY
Chakkarpur Village Manish Jadav House no 50,association_or_organization,point_of_interest|association_or_organization|service|establishment,,,"F3FP+F7H, A Block, DLF Phase 1, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=17027219820648011694&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJpem2XQAZDTkRrhc3ejbWTOw
