name,category,staff_potential,phone,website,rating,reviews,address,maps_url
"""The Occult Supreme"" by Astro-numerologist dishank basu",astrologer,LOW,,http://theoccultsupreme.com/,,,"V 10/18 Dlf Phase 3 Gurgaon haryana 122001, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=18060722340357046095&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"#Nutritionist #wellness #coach #Diabetes, weight management program",health,LOW,099100 25736,https://www.jotform.com/build/220633489084460,,,"2nd Floor, 3, H-2 Rd, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17263933169844775976&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
10digi,telecommunications_service_provider,LOW,099993 30022,https://10digi.com/,4,2530,"204, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=8634939769599680044&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
118 Office,corporate_office,MED,,,5,1,"118, A Block Main Rd, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=8873725630134412079&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
1299 maruti vihar,association_or_organization,LOW,,,,,"F3GH+8XR, Maruti Vihar, Maruti Housing Colony, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15498261724794113818&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
13sqft,storage,LOW,087004 71705,https://13sqft.com/,4.5,8,"PLOT #174 (Ground Floor, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=8273303803139638252&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
1589 Hotels Pvt Ltd (Corporate Office),corporate_office,HIGH,0124 449 7024,,4,4,"2nd Floor, Skylark Building, Plot No. 814, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=6169947569631295274&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
1K (Corporate Office),corporate_office,MED,,,4.2,35,"Incuspaze, Plot No-17, Phase-4, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=789171465459768844&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
21Diamonds - Online Jewelry Store,jewelry_store,MED,097179 47775,,4.1,20,"521, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16508945460625642587&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
220kv GIS S/Stn Gurgaon,government_office,LOW,,,5,2,"G37Q+P6F, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16261060974169456412&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
