name,area,category,staff_potential,phone,website,address,maps,phone_source,enrich_note
Sikka Maternity And Surgical Center,DLF Phase 1,hospital,HIGH,0124-2351329,,,https://www.openstreetmap.org/node/7010378677,web,Dr. Vijay Kumar Sikka
Seven Barrel Brew Pub,DLF Phase 1,bar,HIGH,+91-95992-30886;+91-72178-19353,,"Golf Course Road, DLF Phase 1",https://www.openstreetmap.org/node/13175452494,osm,
The Golden Dragon,DLF Phase 1,restaurant,HIGH,0124-4058000,,,https://www.openstreetmap.org/node/13175500408,web,DT Mega Mall
Gulati,DLF Phase 1,restaurant,HIGH,+91 124 428 1929,https://gulatirestaurant.co,,https://www.openstreetmap.org/node/13175500421,web,
Gulati Indian Food,DLF Phase 1,restaurant,HIGH,+91 124 428 1929,,,https://www.openstreetmap.org/node/13176626194,web,same venue as Gulati
Apollo Diagnostics,DLF Phase 1,clinic,HIGH,+91 124100021,,,https://www.openstreetmap.org/node/13176643012,osm,
Dermapuritys Aesthetic Clinic,DLF Phase 1,clinic,HIGH,+91 73039 10800,,,https://www.openstreetmap.org/node/13176646904,web,alt 8766310130
JMD Regent Plaza,DLF Phase 1,mall,HIGH,9625318281,,,https://www.openstreetmap.org/way/43022517,osm,
Le Meridien Gurgaon,DLF Phase 1,hotel,HIGH,+91 124-4992000,https://www.marriott.com/en-us/hotels/deldm-le-meridien-gurgaon-delhi-ncr/overview/,"Sector 26, M.G. Road, Gurgaon Delhi Gurgaon Border, Gurgaon, Haryana, India, 122002",https://www.openstreetmap.org/way/144272841,osm,
The Bristol Hotel,DLF Phase 1,hotel,HIGH,01244351111,https://www.thebristolhotel.in,,https://www.openstreetmap.org/way/144358736,osm,
Mukesh Dhaba,DLF Phase 2,restaurant,HIGH,+91 99114 17700,,Service Road,https://www.openstreetmap.org/node/3642197067,web,"24hr, a.k.a. Convergys Dhaba"
Asha Multispeciality Clinic,DLF Phase 2,clinic,HIGH,+91 80109 94994,,,https://www.openstreetmap.org/node/7622826272,web,"branch is U-Block DLF Phase 3, not Phase 2"
Sun Villa Gurgaon,DLF Phase 2,hotel,HIGH,+91-1244148104,http://www.sunvillagurgaon.com,"39E, Akashneem Marg",https://www.openstreetmap.org/node/9246966086,osm,
Knite Ryder,DLF Phase 2,restaurant,HIGH,+91 90150 60921,,,https://www.openstreetmap.org/node/10688625178,web,"lounge bar, alt 07735 353502"
Blue Tokai Coffee Roasters,DLF Phase 2,cafe,HIGH,+91 8448776748,,,https://www.openstreetmap.org/node/13293400540,osm,
Copper Chimney,DLF Phase 2,restaurant,HIGH,+91 8976792319;+91 8976792315,,,https://www.openstreetmap.org/node/13293400549,osm,
द: NUKKAD,DLF Phase 2,cafe,HIGH,+919821261643,https://,M1,https://www.openstreetmap.org/way/1236528030,osm,
Amazone Residency Dlf Phase 3 Gurugram,DLF Phase 3,hotel,HIGH,+919871237434,https://gurugramhotel.com/,"37/8, V Block, 37 lane",https://www.openstreetmap.org/node/10685628359,osm,
Ambience Mall,DLF Phase 3,mall,HIGH,0124-4737123,,Ambience Island,https://www.openstreetmap.org/way/267001567,osm,
Megha Darjeeling Restaurant,Galleria Market,restaurant,HIGH,7428205724,,"A55/14, DLF Phase 1, Sector 28",https://www.openstreetmap.org/node/10908640655,osm,
BabyJoy IVF,Galleria Market,clinic,HIGH,+91 9555044044,,,https://www.openstreetmap.org/node/13246707609,osm,
Bodycraft Salon,DLF Phase 1,hairdresser,MED,+91 9035723785,https://www.bodycraft.co.in/location-salon/gurgaon/spa-and-salon-in-dlf-phase-1,,https://www.openstreetmap.org/node/13246426345,osm,
Shri Balaji Medical Store,DLF Phase 2,pharmacy,MED,+124 6470708,,"49-50, U-13",https://www.openstreetmap.org/node/4219527516,osm,
Bain & Company,DLF Phase 2,company,MED,+91 124 475 1500,https://www.bain.com/offices/india/en_us/index.aspx,,https://www.openstreetmap.org/node/4498883706,osm,
KPMG,DLF Phase 2,company,MED,01243074000,https://home.kpmg.com/in/en,"10C, P-5-P-4 Lane, DLF Cyber City, Sector 24, Phase II",https://www.openstreetmap.org/node/5550889022,osm,
Boston Consulting Group,DLF Phase 2,consulting,MED,+91 124 475 1500,https://www.bcg.com/offices/knowledge-analytics-new-delhi.aspx,,https://www.openstreetmap.org/node/6176385343,osm,
Boston Consulting Group,DLF Phase 2,consulting,MED,+91 124 459 7000,https://www.bcg.com/offices/new-delhi/default.aspx,,https://www.openstreetmap.org/node/6176385344,osm,
DSV Air & Sea,DLF Phase 2,company,MED,+91 1247199900,https://www.dsv.com/,"Building No-10A, 3Rd Floor, Cyber City, Phase-2, Gurugram, Delhi-Gurugram Expressway",https://www.openstreetmap.org/node/10310206480,osm,
DLF OFFICES,DLF Phase 2,company,MED,+91-124-4396000,https://www.dlf.in/offices/,"DLF Gateway Tower, R Block",https://www.openstreetmap.org/node/10770868565,osm,
"BraaiCraft - BBQs, Offset Smokers, Grills, Firepits & Outdoor Kitchens",DLF Phase 2,company,MED,+919980851233,https://www.braaicraft.com/,"150, National Media Centre",https://www.openstreetmap.org/node/13234594543,osm,
Dyninno,DLF Phase 2,company,MED,+91 1244398587,https://dyninno.com/en/offices/india/,,https://www.openstreetmap.org/node/13243404915,osm,
Anvika Professional Salon,DLF Phase 2,beauty,MED,918527470969,https://anvika-professional.grexa.site/,"45,46, Street No. 1, U Block, DLF Phase 3, Sector 24",https://www.openstreetmap.org/node/13846314782,osm,
COWI India,DLF Phase 3,company,MED,+91124 409 2500,https://www.cowi.com,"2nd Floor, DLF Downtown, Block 2, Sector 24, Delhi-Gurugram Expressway",https://www.openstreetmap.org/node/11521864528,osm,
Sinh Salon,Galleria Market,hairdresser,MED,+91 01244251845,https://sinh.co.in/,,https://www.openstreetmap.org/node/13246707646,osm,
Dr. Khosla's Dental Clinic,DLF Phase 1,dentist,LOW,+91-124-4036918,,H-35,https://www.openstreetmap.org/node/9447044303,osm,
Red Orchid Spa MG Road,DLF Phase 1,massage,LOW,+91-9899620796,,"Unit no 18, MGF Mega City Mall, Unit No 18, First Floor, Mehrauli-Gurgaon Road",https://www.openstreetmap.org/node/11238183299,osm,
The New Beginning,DLF Phase 1,doctors,LOW,+91 124 422 7991; +91 124 422 7838; +91 98103 03336,,,https://www.openstreetmap.org/node/13176643803,osm,
Momentz,DLF Phase 1,gift,LOW,+91 9818683000,https://momentz.in/,,https://www.openstreetmap.org/node/13176650930,osm,
Verity Lex Legal Consulting,DLF Phase 1,lawyer,LOW,+91 81786 72224; +91 95553 40017,,,https://www.openstreetmap.org/node/13176652384,osm,
Frontier Kia,DLF Phase 1,car,LOW,+91 9619531996;+91 8045888759,,A-14,https://www.openstreetmap.org/node/13176658577,osm,
Trade Uno Fabrics,DLF Phase 1,fabric,LOW,+91 8130554637,https://www.tradeuno.com/,,https://www.openstreetmap.org/node/13176669329,osm,
"Uncover Laser, Skin & Hair Clinic",DLF Phase 1,doctors,LOW,+91 9752007200;+91 9220504407,https://uncover.co.in/,,https://www.openstreetmap.org/node/13176674137,osm,
Rainbow Toys,DLF Phase 1,toys,LOW,+91 01244039833,,,https://www.openstreetmap.org/node/13246426333,osm,
House of Lalittya,DLF Phase 1,interior_design,LOW,+91 9810318175,https://www.lalittya.com/,,https://www.openstreetmap.org/node/13246426340,osm,
Acer Mall,DLF Phase 1,computer,LOW,+91 9513384675,https://acermall.shopacer.co.in/shop/a-one-music&computers-acer-mall-exclusive-store-desktop-shop-computer-showroom-in-haryana-gurgaon-1660,,https://www.openstreetmap.org/node/13246426343,osm,
Bharat Reshma,DLF Phase 1,clothes,LOW,+91 9811035034,https://bharatreshma.com/pages/gurugram-store-haryana,,https://www.openstreetmap.org/node/13246426346,osm,
Red Orchid Spa Gurgaon,Galleria Market,massage,LOW,+91-124-4287808,,"A 26/14, 2nd Floor, A 26, 14, Golf Course Rd, DLF Phase 1, Sector 28,",https://www.openstreetmap.org/node/11238180264,osm,
Rarity Dental,Galleria Market,dentist,LOW,+91 78994 18483,https://raritydental.com,,https://www.openstreetmap.org/node/13176612124,osm,
Skinfinity Derma,Galleria Market,doctors,LOW,+91 8591110110,,,https://www.openstreetmap.org/node/13246707608,osm,
Midea Proshop,Galleria Market,appliance,LOW,+91 8882702822,,,https://www.openstreetmap.org/node/13246707623,osm,
