name,type,staff_needs,phone,phone_source,contact,source_note,website,rating,reviews,address,maps_url
Casenora Girls Pg Paying Guest,PG / Co-living,"cleaner, cook, warden, guard",9718390395,google,,,,4.4,25,"Jcm 37 b, DLF Phase 2, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10840622480268537138&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Galaxxy Inn Girl's PG,PG / Co-living,"cleaner, cook, warden, guard",9971245040,google,,,,4.1,102,"J-4, 22, Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4016546630718401777&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Harmony Heaven PG: The 1RK Delight,PG / Co-living,"cleaner, cook, warden, guard","9310128038, 8076929996",web-verified,,harmonyheavenpg.com (official site),https://www.harmonyheavenpg.com/,4.1,97,"Building 10, Street 5, old, road, opposite Maruti kapashera, Noble Enclave, Sector 22, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=5025374245248713472&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Livstations Co-living, MG Road",PG / Co-living,"cleaner, cook, warden, guard",9319124466,google,,,https://www.livstations.com/properties-3/livstations--mg-road,5,7,"Community Centre, K Block, DLF Phase II, Gurgaon, Park, DLF Phase 2, Sector 25, Gurugram, Haryana 122022, India",https://maps.google.com/?cid=13261272529922713043&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Lohmod House Co-living PG,PG / Co-living,"cleaner, cook, warden, guard",9810607422,google,,,https://lohmodhousepg.com/,4.1,209,"T-14/9, Near Shani Mandir, Via City Club, DLF Phase 3, 122022, T Block, Nathupur, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4865957175350005790&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
PG In Gurgaon,PG / Co-living,"cleaner, cook, warden, guard",9999050090,google,,,https://www.tenanto.in/pg-coliving/gurugram/gurugram/pid/desc,2.6,18,"House No. 142, Sector-22A, IDPL Twp, Sector 22A, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=14298290959290231438&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Swan's Nest,PG / Co-living,"cleaner, cook, warden, guard",9354459738,google,,,,5,2,"36, H-33 Rd, Block H, DLF Phase 1, DLF PH-2, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15505228982603259619&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Safehouse Girls PG,PG / Co-living,"cleaner, cook, warden, guard",9891021122,google,,,http://www.safehousepg.in/,4.5,83,"V/814, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=18031384128541683721&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Zolo Breeze Co-Living | Redefining PG,PG / Co-living,"cleaner, cook, warden, guard",8880108010,google,,,https://zolostays.com/pg-hostel-near-DLF-Phase-3-in-Gurugram-for-couple-Zolo-Breeze-ZGG007,3.9,178,"Khasra No. 342, Near, T29, 10 Road, opposite Hanuman Mandir, Nathupur, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9260091132718659558&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
37 @ SIRIS ROAD,Lodging / PG,"cleaner, cook, warden, guard",9810500332,google,,,http://www.37sirisroad.com/,4.2,117,"Block T, 37, Siris Rd, near City Club, T Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6230928968931805709&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aadhar Hotel-Best Hotel In Gurgaon-Best Guest House In Gurgaon-Luxury Rooms In Gurgaon,Lodging / PG,"cleaner, cook, warden, guard",9999928884,google,,,https://www.anupamhoteliersltd.com/aadhar-gurgaon/,4.1,284,"Metro Station, 26, J-10, near Sikanderpur Road, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17101845484185651715&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ACE 7 Hotel and Residence,Lodging / PG,"cleaner, cook, warden, guard",7042158001,google,,,https://ace7.in/,4.7,95,"69A, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=1309749400194949465&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Anubhav Hotel Solutions,Lodging / PG,"cleaner, cook, warden, guard",9810245112,google,,,http://ahotelsolutions.com/,4,4,"V, V, Block 13/9, DLF City Phase 3 Rd, near Police Station, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=12607933171394864818&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Bedchambers Serviced Apartments, DLF Cybercity Gurgaon",Lodging / PG,"cleaner, cook, warden, guard",8588888655,google,,,https://bedchambers.in/Apartments/bedchambers-serviced-apartments-dlf-cybercity-gurgaon/,4.9,180,"V40, 1, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4838707718266024628&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BrownBricks Service Apartments,Lodging / PG,"cleaner, cook, warden, guard",9555034206,google,,,https://www.airbnb.com/l/Kha0yT43,4.6,151,"26-27, V-19, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13839298595074884350&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Commune Siris,Lodging / PG,"cleaner, cook, warden, guard",9971294321,google,,,https://communeapartment.com/,4.7,15,"Cyber city, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=9408115525855432339&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Double Tree Resorts and Holidays India Private Limited,Lodging / PG,"cleaner, cook, warden, guard",7303944472,google,,,https://www.doubletreeresortsandholidays.com/,4.9,48,"4th Floor, Vashisth Complex, 427, sikanderpur, Sector 28, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6171341754056815722&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Enkay Residency V Block,Lodging / PG,"cleaner, cook, warden, guard",9810732640,google,,,http://www.enkayresidency.com/,4.1,329,"V-39/18 & 19, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=14663836967261945784&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
FabHotel Balram International,Lodging / PG,"cleaner, cook, warden, guard",7074747474,google,,,,,,"L-28/1, Heritage City, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1548648668318242269&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
FabHotel Guru Kripa Residency,Lodging / PG,"cleaner, cook, warden, guard",7042424242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/fabhotel-guru-kripa-residency-phvsegrt.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,,,"K-3/2, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10119663619684360675&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
FabHotel Moon Hospitality,Lodging / PG,"cleaner, cook, warden, guard",7042424242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/?utm_source=Google_Maps&utm_medium=organic&utm_campaign=Google_Maps_Clicks,3.6,71,"-122002, T-26/12, DLF Phase 3, Sector 24, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=2978859717113246824&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
