name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
"C893-D, C block, sudhant lok 1",apartment_complex,apartment_complex|point_of_interest|service|establishment,,,"C893, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=13516461668063015414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ9-1XdQAZDTkR9nEUGUYelLs
EITC GROUP( A TRUSTED NAME SINCE 2006),service,wholesaler|point_of_interest|service|establishment,098998 67897,https://www.eitcgroup.com/,"733, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122001, India",,,OPERATIONAL,https://maps.google.com/?cid=7885628309669058670&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJi5oqZi4ZDTkRbpiW9Cphb20
"C-742, Sushant Lok Phase - 1, C-Block",apartment_complex,apartment_complex|point_of_interest|service|establishment,,,"c, 742, Sushant Lok Rd, Phase -1, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",3,1,OPERATIONAL,https://maps.google.com/?cid=9023977908809126235&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJv77KfAAZDTkRW1GK0xicO30
Sliceinn Yucca,service,point_of_interest|service|establishment,080767 78706,https://www.sliceinn.in/,"C 576, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.4,5,OPERATIONAL,https://maps.google.com/?cid=15065606343627704669&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJTUxZ_HoZDTkRXQnNBSbJE9E
The Gifting Edit,gift_shop,gift_shop|store|point_of_interest|establishment,081307 52709,http://www.thegiftingedit.co/,"Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=1474718036315632061&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJk2ttaXqFlQoRvXF0mj1AdxQ
"Cosy Lookout, 893CA, C-Block, Sushant Lok Phase-1, Sector-43",general_contractor,general_contractor|point_of_interest|service|establishment,,http://cosylookout.com/,"893CA, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=3396779746880953130&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJJVCkBGgZDTkRKpsU0S7JIy8
"C-775, Sushant Lok-1",apartment_building,apartment_building|point_of_interest|service|establishment,,,"F35M+3F8, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=2876389108596100041&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJWbUSAQAZDTkRyUusjaf86ic
Edify Learning,corporate_office,corporate_office|point_of_interest|establishment,091777 44117,,"747 b, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=2811789429607113505&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJe6UbwcMYDTkRISPutpZ7BSc
Government Model Sanskriti Senior Secondary School,school,school|educational_institution|point_of_interest|establishment,0124 257 0289,http://gmssssgurugram.com/,"F34P+Q8G, Vyapar Kendra Rd, Block C, DLF Garden Villas, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=938074760208937685&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJkfdkOMMYDTkR1XIDNwa2BA0
Rambeer Travels,taxi_service,taxi_service|transportation_service|point_of_interest|service|establishment,095602 61600,https://rambeertravels.com/,"R1 B301, EWS Richmond Park, Block C, DLF Phase IV, Sector 27, Gurugram, Haryana 122009, India",4.8,21,OPERATIONAL,https://maps.google.com/?cid=15168322142706338528&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJF_eBGwAZDTkR4Aq0op-0gNI
