name,category,primary_type,mobile,website,address,rating,reviews,maps_url
STORY Club and Lounge,bar,association_or_organization,9654245577,https://www.instagram.com/storyclubgurgaon/,"The Westin, 1, Mehrauli-Gurgaon Rd, Sector 29, Gurugram, New Delhi, Haryana 122009, India",4.3,820,https://maps.google.com/?cid=14071336953442378773&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Modern Zen Spa & Lounge | Premium Spa,bar,spa,9821400437,https://modernzenspa.com/,"6101, 2nd Floor, near super Mart 1, opposite Tower-R, DLF Phase IV, Gurugram, Haryana 122009, India",4.8,170,https://maps.google.com/?cid=4805025183536657589&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Korner 27,bar,bar,9205700432,https://www.facebook.com/bibulouslounge,"No 603, Hamilton Ct Rd, near Bestech Centre Point, Block A, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.5,135,https://maps.google.com/?cid=9287801543140058878&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Shah Dental Care Lounge,bar,dental_clinic,9990320555,https://shahdentalcarelounge.com/,"K3/86, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",5,75,https://maps.google.com/?cid=13272583984427660711&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Sunset Story Rooftop Bar,bar,lounge_bar,9899191917,https://www.marriott.com/en-us/hotels/delwi-the-westin-gurgaon-new-delhi/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"The Westin, 1, Mehrauli-Gurgaon Rd, Sector 29, Gurugram, New Delhi, Haryana 122002, India",3.7,50,https://maps.google.com/?cid=9467567913657952776&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
DESIGN LOUNGE @ G M Associates,bar,service,8800495007,,"Mahindra Compound, near PASSPORT OFFICE, Udyog Vihar, Sector 18, Sarhol, Gurugram, Haryana 122015, India",4.9,15,https://maps.google.com/?cid=11445407993123534600&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
GAY PARTY G ZONE,bar,bar,7289998583,,"Nathupur, Sector 24, Gurugram, Haryana 122002, India",3.9,14,https://maps.google.com/?cid=953941233144756791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
121 Square,bar,bar,8929342065,,"DLF Silver Oaks, G Block, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",4.8,9,https://maps.google.com/?cid=7169054042800879236&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Party Night Club,bar,night_club,8860588499,https://party-night-club.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,"3rd Floor, opposite Mehrauli-Gurgaon Road, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122009, India",5,6,https://maps.google.com/?cid=18178014570981489862&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
SBM Toilet,bar,public_bathroom,9863371332,,"Near Community Centre, Ambedkar Colony, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",3,2,https://maps.google.com/?cid=11856425190272655011&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
sudama pandey,bar,bar,6307747063,,"shop, no 56, Sector 29, Gurugram, Haryana 122009, India",,,https://maps.google.com/?cid=4161049323268283728&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Mother Mary Public School, Aya Nagar, Delhi",bar,primary_school,9773619981,http://www.mmpsayanagar.in/,"Ishwar Colony, Phase 5, Aya Nagar Extension, Aya Nagar, New Delhi, Delhi 110047, India",,,https://maps.google.com/?cid=9029591475427550528&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Sant Memorial Public School,bar,government_office,9818984542,https://www.linkedin.com/company/smps-gurgaon/,"Sector 17-B, Block B, IFFCO Colony, Sector 17, Gurugram, Haryana 122001, India",,,https://maps.google.com/?cid=17059417160802913796&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Sunshine Public School Sarhaul,bar,primary_school,9999076240,,"House Number 885 , Sector-18 , VPO Sarhaul, near Govt School, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",,,https://maps.google.com/?cid=6602817952638976855&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
SPOKEN ENGLISH & PUBLIC SPEAKING ACADEMY- SEPS,bar,educational_institution,9266877813,https://www.icoachthecoach.in/,"iCoachTheCoach-ICTC Learning Solutions S-50/24, Ground Floor, beside R.K Public School, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",,,https://maps.google.com/?cid=9997866611512384943&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Rao shyam lal memorial public school,bar,school,9810240310,,"7, Sub. Major Laxmi Chand Rd, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",,,https://maps.google.com/?cid=12136196316769888927&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aquatic Public School,bar,school,9990926662,,"SHIV MANDIR, NEAR TOTARAM CHOWK, DLF PHASE 3, Nathupur, Sector 24, Gurugram, Haryana 122010, India",,,https://maps.google.com/?cid=16886609365258211267&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
S T Public School,bar,school,9968581304,,"Nathupur, C 26 28, Dlf Phase 3, Sector 24, Gurugram, Gurugram Division Delhi, 489, Nathupur, Sector 24, Gurugram, Haryana 122002, India",,,https://maps.google.com/?cid=13287169899798913228&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Fig at MG,cafe,cafe,8447102226,https://www.instagram.com/figatmgroad/,"Ground Floor, TOWER-A, Global Gateway Towers, Unit 1, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",4.4,1028,https://maps.google.com/?cid=128419131791281617&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Pour and Palate | Coffee and Cuisine,cafe,cafe,8527888903,https://pourandpalate.com/,"1st Floor, B-65, opposite Vipul Square, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002, India",4.8,925,https://maps.google.com/?cid=12964690226623013793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Coffee Island | HQ27,cafe,coffee_shop,8882151799,http://www.coffeeisland.in/,"HQ27 661, @, B Block Dr, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.8,437,https://maps.google.com/?cid=16070148152172232090&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Gurugram Bakery,cafe,cake_shop,9971219608,,"637, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122002, India",4.9,247,https://maps.google.com/?cid=7323026642162519076&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Fun Station golf course road,cafe,cafe,9871864446,,"Golf Course Road, Block F4, 1, Block F, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",3.9,194,https://maps.google.com/?cid=7087056372276358930&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Systumm Café,cafe,cafe,9650374445,https://instagram.com/systummcafe,"Road, near Hamilton Court Galleria Market, DLF Phase IV, Sector 27, Gurugram, Haryana 122009, India",4.8,127,https://maps.google.com/?cid=5692801181464623106&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
School For European Pastry & Culinary Arts,cafe,,9833043063,https://sep.in.net/gurugram/,"784, Phase V, HSIIDC, Sector 19, Gurugram, Haryana 122016, India",5,127,https://maps.google.com/?cid=4513107325639872815&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
