name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Block C,apartment_building,apartment_building|point_of_interest|service|establishment,,,"738, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=16324335792828469885&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJpy2SstIZDTkRfVK83emwi-I
740B,apartment_building,apartment_building|point_of_interest|service|establishment,,,"739, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=8139935262500395964&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ34cM-OUZDTkRvBsDeP7b9nA
"C893-D, C block, sudhant lok 1",apartment_complex,apartment_complex|point_of_interest|service|establishment,,,"C893, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=13516461668063015414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ9-1XdQAZDTkR9nEUGUYelLs
Kamboj house,housing_complex,housing_complex|point_of_interest|service|establishment,,,"734, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,1,OPERATIONAL,https://maps.google.com/?cid=6015112572840331462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJtdYSDi8ZDTkRxkgi_AP5eVM
Morpankh Park,park,park|point_of_interest|establishment,,,"F34M+V48, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",4.5,46,OPERATIONAL,https://maps.google.com/?cid=6167652452784074249&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJoR_dMmQZDTkRCe5Cajrnl1U
C-754,apartment_building,apartment_building|point_of_interest|service|establishment,,,"F34M+WCR, Raj Villa Marg, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.7,3,OPERATIONAL,https://maps.google.com/?cid=9850405703840164679&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ04A_YXgZDTkRR-vfRsyrs4g
Daaya Home,association_or_organization,association_or_organization|point_of_interest|service|establishment,,,"896 DB Block C, facing, Block C, Morpankhi Park, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",4,1,OPERATIONAL,https://maps.google.com/?cid=16525803865388813661&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ-Sei0_4ZDTkRXQ1H4A5zV-U
EITC GROUP( A TRUSTED NAME SINCE 2006),service,wholesaler|point_of_interest|service|establishment,098998 67897,https://www.eitcgroup.com/,"733, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122001, India",,,OPERATIONAL,https://maps.google.com/?cid=7885628309669058670&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJi5oqZi4ZDTkRbpiW9Cphb20
"C-742, Sushant Lok Phase - 1, C-Block",apartment_complex,apartment_complex|point_of_interest|service|establishment,,,"c, 742, Sushant Lok Rd, Phase -1, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",3,1,OPERATIONAL,https://maps.google.com/?cid=9023977908809126235&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJv77KfAAZDTkRW1GK0xicO30
C733-Aggarwal’s,housing_complex,housing_complex|point_of_interest|service|establishment,,,"733, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=8834539588287789656&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ0ahbeQAZDTkRWPoEuvKWmno
Sliceinn Yucca,service,point_of_interest|service|establishment,080767 78706,https://www.sliceinn.in/,"C 576, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.4,5,OPERATIONAL,https://maps.google.com/?cid=15065606343627704669&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJTUxZ_HoZDTkRXQnNBSbJE9E
Realxinfra,consultant,real_estate_agency|consultant|point_of_interest|service|establishment,,,"1414, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122001, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=12285978330855197846&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJv9sFWoUZDTkRlkzFsDKQgKo
