name,primary_type,mobile,website,address,rating,reviews,maps_url
"DLF CyberHub (Gurugram, Haryana)",business_center,9599400502,https://www.dlfcyberhub.com/,"Ground Floor, Building, 10C, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",4.7,77704,https://maps.google.com/?cid=3397972214007736897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Pathkind Labs,medical_clinic,9513445417,https://nearby.pathkindlabs.com/pathkind-labs-sector-18-gurugram-28574/home?utm_source=GMB,"Plot No 55-56, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",4.8,6196,https://maps.google.com/?cid=7931440721018313346&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Roots - Cafe in the Park,cafe,9971134920,https://redcedarhospitality.com/,"Leisure Valley Rd, Near Rajiv Gandhi Park, Sector 29, Gurugram, Haryana 122009, India",4.3,6126,https://maps.google.com/?cid=18202590629100659353&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Jockey Exclusive Store,clothing_store,7292000024,https://stores.jockey.in/jockey-exclusive-store-sector-24-gurugram-28645/home,"Shop No 107, BLOCK-F, Ambience Mall, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.9,4969,https://maps.google.com/?cid=13620778839524668947&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Hamleys,toy_store,9619204451,https://stores.hamleys.in/hamleys-the-finest-toy-shop-in-the-world-amb-gurg-delhi-toy-shop-nathupur-gurugram-300862/Home?utm_source=locator&utm_medium=googleplaces,"Unit No F128D, 1st Floor, Ambience Mall, Ambience Island, DLF Phase 3, Nathupur, Gurugram, Haryana 122001, India",4.5,4053,https://maps.google.com/?cid=18148679915801973067&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Spar Hypermarket,hypermarket,8867791886,https://www.sparindia.com/en/?utm_source=GBL&utm_medium=organic,"Metro Station, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, near Lower Ground, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",4.2,3800,https://maps.google.com/?cid=8071595933369217833&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Unified Mentor,,6283800330,https://unifiedmentor.com/,"WeWork DLF Forum, Cyber City, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.5,3787,https://maps.google.com/?cid=12453878442385951308&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AMPM Cafe & Bar,cafe,9717780594,http://brighthospitality.in/am-pm.php,"DLF, R-003, Galleria Market, DLF Phase IV, Gurugram, Haryana 122002, India",4.2,3620,https://maps.google.com/?cid=18268670139697074469&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Shree Om Food Plaza,north_indian_restaurant,9871496475,,"93, The National Media Centre, Sector 24, Gurugram, Haryana 122002, India",3.7,3191,https://maps.google.com/?cid=6319023909024058117&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Apple Products Repair Center,service,9654338915,http://www.appleproductsrepaircenter.in/,"Shop No 102,metro pillar No 61, 2nd Floor, Ganganiya Complex, near Sikanderpur Road, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",4.8,2412,https://maps.google.com/?cid=2774634410117819496&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Saltstayz Premier,hotel,8800027657,https://saltstayz.com/hotels/gurgaon/saltstayz-premier-galleria-market-and-sector-27,"Plot no 200 P, Sector 27, Gurugram, Haryana 122009, India",4.8,2125,https://maps.google.com/?cid=1628512630843833247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ReSet by plan B - sector 29,lounge_bar,9990933556,,"Plot No-6, Leisure Valley Rd, near NRCTC Office, Sector 29, Gurugram, Haryana 122002, India",4.5,2069,https://maps.google.com/?cid=5822045676630651539&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
