name,category,primary_type,phone_number,website,address,rating,reviews,maps_url
Roots - Cafe in the Park,food_hospitality,cafe,9971134920,https://redcedarhospitality.com/,"Leisure Valley Rd, Near Rajiv Gandhi Park, Sector 29, Gurugram, Haryana 122009, India",4.3,6126,https://maps.google.com/?cid=18202590629100659353&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Spar Hypermarket,food_hospitality,hypermarket,8867791886,https://www.sparindia.com/en/?utm_source=GBL&utm_medium=organic,"Metro Station, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, near Lower Ground, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",4.2,3800,https://maps.google.com/?cid=8071595933369217833&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AMPM Cafe & Bar,food_hospitality,cafe,9717780594,http://brighthospitality.in/am-pm.php,"DLF, R-003, Galleria Market, DLF Phase IV, Gurugram, Haryana 122002, India",4.2,3620,https://maps.google.com/?cid=18268670139697074469&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Shree Om Food Plaza,food_hospitality,north_indian_restaurant,9871496475,,"93, The National Media Centre, Sector 24, Gurugram, Haryana 122002, India",3.7,3191,https://maps.google.com/?cid=6319023909024058117&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Saltstayz Premier,food_hospitality,hotel,8800027657,https://saltstayz.com/hotels/gurgaon/saltstayz-premier-galleria-market-and-sector-27,"Plot no 200 P, Sector 27, Gurugram, Haryana 122009, India",4.8,2125,https://maps.google.com/?cid=1628512630843833247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ReSet by plan B - sector 29,food_hospitality,lounge_bar,9990933556,,"Plot No-6, Leisure Valley Rd, near NRCTC Office, Sector 29, Gurugram, Haryana 122002, India",4.5,2069,https://maps.google.com/?cid=5822045676630651539&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Saltstayz Express - Golf Course Road & DLF Phase-1,food_hospitality,hotel,9599199605,,"Plot No. 75, Metro, Global, Foyer Mall, Golf Crse Rd, near DLF Phase-1, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.7,2007,https://maps.google.com/?cid=16920317736509926552&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Club Riviera by FNP Venues,food_hospitality,wedding_venue,7827812345,https://www.fnpvenues.com/wedding-venues-gurgaon/club-riviera/,"NH - 8, Golf Dr, behind the leela Hotel Ambience, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.5,1998,https://maps.google.com/?cid=11325007856856792892&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Pasta Bowl Company,food_hospitality,italian_restaurant,9971970077,http://www.thepastabowlcompany.com/,"2nd Floor, Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",4.4,1689,https://maps.google.com/?cid=17604618042406961897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"La La Land Brew Pub, Gurgaon",food_hospitality,pub,8010950000,,"1st Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009, India",4.3,1482,https://maps.google.com/?cid=10603665172913337137&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
