name,category,staff_potential,phone,website,rating,reviews,address,maps_url
37 @ SIRIS ROAD,hotel,HIGH,9810500332,http://www.37sirisroad.com/,4.2,117,"Block T, 37, Siris Rd, near City Club, T Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6230928968931805709&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
7 Ocean - The Fitness Club,fitness_center,HIGH,7007800002,http://7ocean.club/,4.7,241,"Metro Station, A-81, Mehrauli-Gurgaon Rd, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=13532042256246769816&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A DOT by GNH,event_venue,HIGH,9650394476,http://www.gnhhotels.com/,4.6,4958,"Golf Dr, behind The Leela Hotel, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=4489396273289356953&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aadhar Hotel-Best Hotel In Gurgaon-Best Guest House In Gurgaon-Luxury Rooms In Gurgaon,hotel,HIGH,9999928884,https://www.anupamhoteliersltd.com/aadhar-gurgaon/,4.1,284,"Metro Station, 26, J-10, near Sikanderpur Road, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17101845484185651715&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ACE 7 Hotel and Residence,hotel,HIGH,7042158001,https://ace7.in/,4.7,95,"69A, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=1309749400194949465&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ajay Singh,grocery_store,HIGH,9999384169,,4.8,4,"F3FP+G8W, NH 48, near numberdar house, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3906367493295308800&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Alz Day Spa MG Road Gurgaon Massage Parlour,spa,HIGH,8810643162,https://spa-center.co.in/alz-day-spa/,4.6,22,"Shop No.-187, 1st Floor, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=2633408747063736829&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aman General store,bakery,HIGH,9971531044,,3.8,6,"25A, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4516020433496524441&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"AMBIENCE MALL, GURUGRAM",shopping_mall,HIGH,8860800800,http://ambiencemalls.com/,4.6,129802,"NH- 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=5019076698321661990&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ananda Sangha Gurgaon,health,HIGH,8800669210,http://anandagurgaon.org/,5,41,"1st Floor, Community Centre, K Block, DLF Phase II, Gurgaon, DLF Phase 2, Sector 25, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=10412088656766234006&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
