name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
The Sage Bowl,restaurant,restaurant|food|point_of_interest|establishment,,,"Metropolis Mall, UG-16, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",5,10,OPERATIONAL,https://maps.google.com/?cid=8337476578202970866&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJMarXjeYZDTkR8mrtJsaqtHM
Kalu Ram,tea_store,tea_store|food_store|food|point_of_interest|store|establishment,093119 10286,,"Shop no. 4, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",4.3,3,CLOSED_TEMPORARILY,https://maps.google.com/?cid=16258965463676412966&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJq3a3yMwZDTkRJuTGDfJyo-E
Subway MGF Metropolitan,restaurant,restaurant|fast_food_restaurant|breakfast_restaurant|sandwich_shop|food|point_of_interest|establishment,0124 404 0414,https://subway.in/,"MGF House, MGF Metropolitan Mall, 4/17-B, Asaf Ali Road, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122002, India",3.2,106,OPERATIONAL,https://maps.google.com/?cid=13893075569084526802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ__8_KiIZDTkR0vDwFJ8ezsA
Traffic police both MG ROAD,police,police|point_of_interest|service|establishment,,,"NH148A, Indian Airlines Pilots Society, Maruti Housing Colony, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=7429710820045060831&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJCYvNL8sZDTkR33qpZKCiG2c
RAN INSPIRED DESIGNS LLP,,point_of_interest|establishment,,,"LG-24, City Center Mall, Mehrauli-Gurgaon Road, Saraswati Vihar, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",5,26,OPERATIONAL,https://maps.google.com/?cid=18193375294108584646&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJI0alrsIZDTkRxsq19m_ae_w
Gurugram - MG Road (Drop by cab),bus_stop,bus_stop|transit_stop|transit_station|transportation_service|point_of_interest|establishment,,,"Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=14699921657537234676&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJKeI0PiIZDTkR9AaUL92cAMw
Wedstyle,clothing_store,womens_clothing_store|clothing_store|point_of_interest|store|establishment,098184 45480,,"101A,First Floor,City Center Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",4.8,22,OPERATIONAL,https://maps.google.com/?cid=10286809923458988554&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ3WTTlRYZDTkRCnq8nx8Xwo4
Costa Coffee,food_store,food_store|food|point_of_interest|store|establishment,062903 11269,https://www.costacoffee.in/,"Shop No 001, DT City Centre Mall, Mehrauli-Gurgaon Rd, Sector 28, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",4.5,21,OPERATIONAL,https://maps.google.com/?cid=7196220144520390581&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJL9WtLrMZDTkRteelHxgc3mM
Lucknawi Abha,clothing_store,clothing_store|point_of_interest|store|establishment,,,"UG-45, Upper Ground, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",5,2,OPERATIONAL,https://maps.google.com/?cid=3086101097458140990&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ2wVLq2EZDTkRPofv5pgI1Co
Costa Coffee,coffee_shop,coffee_shop|cafe|food_store|restaurant|food|point_of_interest|store|establishment,,https://www.costacoffee.in/,"DLF City, Garden Estate, 22, Mehrauli-Gurgaon Rd, Sector 28, Nathupur, Sector 24, Gurugram, Haryana 122009, India",4.2,291,OPERATIONAL,https://maps.google.com/?cid=5899808074591799391&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJmXs5H2YZDTkRX4gGcS9U4FE
Aurelia - MG Road,womens_clothing_store,womens_clothing_store|clothing_store|point_of_interest|store|establishment,082919 80039,https://stores.shopforaurelia.com/aurelia-mg-road-tcns-dt-city-ladies-clothes-shop-mg-road-gurugram-455945/Home?utm_source=locator&utm_medium=googleplaces,"Shop No 02, Ground Floor, DLF City Center Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122002, India",2.3,3,OPERATIONAL,https://maps.google.com/?cid=11211050300193047451&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ9wbQMJsZDTkRmwMLbtmmlZs
M G Road,bus_station,bus_station|transit_station|transportation_service|point_of_interest|establishment,,,"Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",4.3,123,OPERATIONAL,https://maps.google.com/?cid=13643429761552953866&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJFX5sFCIZDTkRCjJbBxUzV70
