name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Gurugram - MG Road (Drop by cab),bus_stop,bus_stop|transit_stop|transit_station|transportation_service|point_of_interest|establishment,,,"Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=14699921657537234676&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJKeI0PiIZDTkR9AaUL92cAMw
M G Road,bus_station,bus_station|transit_station|transportation_service|point_of_interest|establishment,,,"Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",4.3,123,OPERATIONAL,https://maps.google.com/?cid=13643429761552953866&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJFX5sFCIZDTkRCjJbBxUzV70
Bristol Chowk,bus_stop,bus_stop|transit_stop|transit_station|transportation_service|point_of_interest|establishment,,,"Sector 28, DLF Phase 1, Gurugram, Haryana 122002, India",1,1,OPERATIONAL,https://maps.google.com/?cid=7291129241228289888&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJO9Yl0SgZDTkRYCfgMmpLL2U
ElectricPe Charging Station,electric_vehicle_charging_station,electric_vehicle_charging_station|transportation_service|point_of_interest|establishment,081470 60222,https://electricpe.com,"F3JG+X6G, nearby renbaxi, DLF Phase 2, Sector 18, Sarhol, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=8071619810154894737&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ9eS9xhkZDTkRkdVJunMnBHA
Visitors Parking,parking_lot,parking_lot|parking|transportation_service|service|point_of_interest|establishment,,,"F3JG+MVP, Heritage Dr, Heritage City, Sector 25, Gurugram, Haryana 122002, India",3,1,OPERATIONAL,https://maps.google.com/?cid=6893275817744455403&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJg7FzuEYZDTkR69Zyh9XVqV8
Agarwal Packers And Movers Pvt L,transportation_service,transportation_service|point_of_interest|establishment,095821 44001,,"J-6, Heritage City, Sector 25, Gurugram, Haryana 122002, India",5,1,OPERATIONAL,https://maps.google.com/?cid=2822443945472556421&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJXynyya4ZDTkRhf1XgNBVKyc
Sikandarpur Metro Parking Area,parking,parking|transportation_service|point_of_interest|establishment,,,"F3JV+P45, Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",4.3,16,OPERATIONAL,https://maps.google.com/?cid=4316947451662816728&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJVVUVDi8ZDTkR2NVjytXg6Ds
Sh. Hanuman Taxi Service,taxi_service,taxi_service|transportation_service|service|point_of_interest|establishment,098116 10657,,"Shop No. 2, 1st Floor, Sikanderpur Market, M. G. Road Opp. Metro Pillar No. 48-49, Sikanderpur, DLF Phase 1, Sector 24, Gurugram, Haryana 122002, India",5,5,OPERATIONAL,https://maps.google.com/?cid=7108049507772606485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJF67QXCwZDTkRFSitBF7dpGI
Twb technical,electric_vehicle_charging_station,electric_vehicle_charging_station|transportation_service|point_of_interest|establishment,,,"Sarhaul, Kabaria Mohalla, behind sunpharma, near rahul yadav complex, Sector 18, Gurugram, Haryana 122015, India",5,3,OPERATIONAL,https://maps.google.com/?cid=12290222469994109991&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJSUuxGy0ZDTkRJ9yFVjikj6o
Ather Charging Station,electric_vehicle_charging_station,electric_vehicle_charging_station|transportation_service|point_of_interest|establishment,,https://www.atherenergy.com/,"F3PC+FJ6, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",3.8,10,OPERATIONAL,https://maps.google.com/?cid=1131332874384276934&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJC0CcBREZDTkRxn1lVEFNsw8
